score,name,timestamp,btcPrice,btcVolume
40,Neutral,1756598400,108818.46,47986191770.07
39,Fear,1756684800,108228.75,66870372995.20
39,Fear,1756771200,109243.07,74776999490.97
42,Neutral,1756857600,111190.70,61119643564.64
44,Neutral,1756944000,111718.15,60131132900.90
41,Neutral,1757030400,110723.01,60241647677.23
41,Neutral,1757116800,110650.57,21500719035.81
40,Neutral,1757203200,110221.33,24618007519.76
42,Neutral,1757289600,111163.02,40212813406.78
44,Neutral,1757376000,112077.58,45984480722.09
43,Neutral,1757462400,111531.25,56377473784.11
47,Neutral,1757548800,113961.43,45685065332.30
50,Neutral,1757635200,115507.79,54785725894.45
53,Neutral,1757721600,116093.56,34549454946.66
52,Neutral,1757808000,115950.29,32798036056.78
51,Neutral,1757894400,115399.63,52937859416.04
50,Neutral,1757980800,115423.75,45781744592.98
51,Neutral,1758067200,116840.51,60528025996.30
51,Neutral,1758153600,116461.26,49457272032.38
52,Neutral,1758240000,117137.67,38828473971.12
48,Neutral,1758326400,115691.13,22864449614.47
48,Neutral,1758412800,115730.23,22495852193.17
47,Neutral,1758499200,115309.22,70684158591.15
40,Neutral,1758585600,112757.48,47211853278.67
39,Fear,1758672000,112007.67,48044595084.74
41,Neutral,1758758400,113330.17,75528654283.63
32,Fear,1758844800,109041.29,57738288948.87
34,Fear,1758931200,109707.14,26308042910.14
34,Fear,1759017600,109681.95,33371048505.29
39,Fear,1759164790,113876.63,58469890945.09
